variable_names,cell_methods,dimensions,branded_label-spreadsheet,branded_label-following_appendixF-from_last_year,matching
ares,area: mean where land time: mean,longitude latitude time,ares_tavg-z0-hxy-lnd,ares_tavg-u-hxy-lnd,False
siage,area: time: mean where sea_ice,longitude latitude time,siage_tavg-z0-hxy-si,siage_tavg-u-hxy-si,False
meanage,longitude: time: mean where air,latitude plev39 time,meanage_tavg-p39-hy-air,meanage_tavg-p39-hy-air,True
agesno,area: time: mean where land (weighted by snow mass on land),longitude latitude time,agesno_tavg-z0-hxy-lnd,agesno_tavg-u-hxy-lnd,False
agesno,area: time: mean where land (weighted by snow mass on land),longitude latitude time,agesno_tavg-z0-hxy-lnd,agesno_tavg-u-hxy-lnd,False
pfull,area: mean time: point,longitude latitude alevel time1,pfull_tpt-l-hxy-x,pfull_tpt-l-hxy-u,False
pfull,area: mean time: point,longitude latitude alevel time1,pfull_tpt-l-hxy-x,pfull_tpt-l-hxy-u,False
pfull,area: time: mean,longitude latitude alevel time,pfull_tavg-l-hxy-x,pfull_tavg-l-hxy-u,False
pfull,area: time: mean,longitude latitude alevel time,pfull_tavg-l-hxy-x,pfull_tavg-l-hxy-u,False
pfull,area: mean time: mean within years time: mean over years,longitude latitude alevel time2,pfull_tcla-l-hxy-x,pfull_tclm-l-hxy-u,False
pfull,area: point time: point,alevel site time1,pfull_tpt-l-hxys-x,pfull_tpt-l-hxys-u,False
phalf,area: mean time: point,longitude latitude alevhalf time1,phalf_tpt-l-hxy-x,phalf_tpt-l-hxy-u,False
phalf,area: time: mean,longitude latitude alevhalf time,phalf_tavg-l-hxy-x,phalf_tavg-l-hxy-u,False
phalf,area: time: mean,longitude latitude alevhalf time,phalf_tavg-l-hxy-x,phalf_tavg-l-hxy-u,False
phalf,area: mean time: mean within years time: mean over years,longitude latitude alevhalf time2,phalf_tcla-l-hxy-x,phalf_tclm-l-hxy-u,False
phalf,area: point time: point,alevhalf site time1,phalf_tpt-l-hxys-x,phalf_tpt-l-hxys-u,False
pctisccp,area: time: mean where cloud (weighted by ISCCP total cloud area),longitude latitude time,pctisccp_tavg-z0-hxy-cl,pctisccp_tavg-u-hxy-cl,False
pctisccp,area: time: mean where cloud (weighted by ISCCP total cloud area),longitude latitude time,pctisccp_tavg-z0-hxy-cl,pctisccp_tavg-u-hxy-cl,False
ccb,area: time: mean where convective_cloud (weighted by total convective cloud area),longitude latitude time,ccb_tavg-z0-hxy-ccl,ccb_tavg-u-hxy-ccl,False
ccb,area: time: mean where convective_cloud (weighted by total convective cloud area),longitude latitude time,ccb_tavg-z0-hxy-ccl,ccb_tavg-u-hxy-ccl,False
ccb,area: time: point where convective_cloud,site time1,ccb_tpt-z0-hxys-ccl,ccb_tpt-u-hxys-ccl,False
cct,area: time: mean where convective_cloud (weighted by total convective cloud area),longitude latitude time,cct_tavg-z0-hxy-ccl,cct_tavg-u-hxy-ccl,False
cct,area: time: mean where convective_cloud (weighted by total convective cloud area),longitude latitude time,cct_tavg-z0-hxy-ccl,cct_tavg-u-hxy-ccl,False
cct,area: time: point where convective_cloud,site time1,cct_tpt-z0-hxys-ccl,cct_tpt-u-hxys-ccl,False
psl,area: mean time: point,longitude latitude time1,psl_tpt-z0-hxy-x,psl_tpt-u-hxy-u,False
psl,area: time: mean,longitude latitude time,psl_tavg-z0-hxy-x,psl_tavg-u-hxy-u,False
psl,area: mean time: point,longitude latitude time1,psl_tpt-z0-hxy-x,psl_tpt-u-hxy-u,False
psl,area: time: mean,longitude latitude time,psl_tavg-z0-hxy-x,psl_tavg-u-hxy-u,False
psl,area: mean time: point,longitude latitude time1,psl_tpt-z0-hxy-x,psl_tpt-u-hxy-u,False
psl,area: time: mean,longitude latitude time,psl_tavg-z0-hxy-x,psl_tavg-u-hxy-u,False
psl,area: time: mean,longitude latitude time,psl_tavg-z0-hxy-x,psl_tavg-u-hxy-u,False
psl,area: point time: point,site time1,psl_tpt-z0-hxys-x,psl_tpt-u-hxys-u,False
ta,area: mean where air time: point,longitude latitude plev27 time1,ta_tpt-p27-hxy-air,ta_tpt-p27-hxy-air,True
ta,area: mean where air time: point,longitude latitude plev3 time1,ta_tpt-p3-hxy-air,ta_tpt-p3-hxy-air,True
ta,area: mean time: point,longitude latitude alevel time1,ta_tpt-l-hxy-x,ta_tpt-l-hxy-u,False
ta,area: mean where air time: point,longitude latitude plev7h time1,ta_tpt-p7h-hxy-air,ta_tpt-p7h-hxy-air,True
ta,area: mean time: point,longitude latitude alevel time1,ta_tpt-l-hxy-x,ta_tpt-l-hxy-u,False
ta,area: mean where air time: point,longitude latitude plev27 time1,ta_tpt-p27-hxy-air,ta_tpt-p27-hxy-air,True
ta,area: mean where air time: point,longitude latitude plev3 time1,ta_tpt-p3-hxy-air,ta_tpt-p3-hxy-air,True
ta,area: mean where air time: point,longitude latitude plev7h time1,ta_tpt-p7h-hxy-air,ta_tpt-p7h-hxy-air,True
ta,area: time: mean,longitude latitude alevel time,ta_tavg-l-hxy-x,ta_tavg-l-hxy-u,False
ta,area: time: mean where air,longitude latitude time p500,ta_tavg-p0500-hxy-air,ta_tavg-500hPa-hxy-air,False
ta,area: time: mean where air,longitude latitude time p850,ta_tavg-p0850-hxy-air,ta_tavg-850hPa-hxy-air,False
ta,area: time: mean where air,longitude latitude plev19 time,ta_tavg-p19-hxy-air,ta_tavg-p19-hxy-air,True
ta,longitude: time: mean where air,latitude plev19 time,ta_tavg-p19-hy-air,ta_tavg-p19-hy-air,True
ta,area: time: mean where air,longitude latitude plev8 time,ta_tavg-p8-hxy-air,ta_tavg-p8-hxy-air,True
ta,area: time: mean where air,longitude latitude time p700,ta_tavg-p0700-hxy-air,ta_tavg-700hPa-hxy-air,False
ta,area: time: mean,longitude latitude alevel time,ta_tavg-l-hxy-x,ta_tavg-l-hxy-u,False
ta,area: time: mean where air,longitude latitude plev19 time,ta_tavg-p19-hxy-air,ta_tavg-p19-hxy-air,True
ta,area: time: mean where air,longitude latitude plev27 time,ta_tavg-p27-hxy-air,ta_tavg-p27-hxy-air,True
ta,longitude: time: mean where air,latitude plev39 time,ta_tavg-p39-hy-air,ta_tavg-p39-hy-air,True
ta,area: mean time: point,longitude latitude alevel time1,ta_tpt-l-hxy-x,ta_tpt-l-hxy-u,False
ta,area: point time: point,alevel site time1,ta_tpt-l-hxys-x,ta_tpt-l-hxys-u,False
tas,area: time: mean,longitude latitude time height2m,tas_tavg-h02-hxy-x,tas_tavg-h2m-hxy-u,False
tas,area: mean time: point,longitude latitude time1 height2m,tas_tpt-h02-hxy-x,tas_tpt-h2m-hxy-u,False
tas,area: time: mean,longitude latitude time height2m,tas_tavg-h02-hxy-x,tas_tavg-h2m-hxy-u,False
tas,area: mean time: point,longitude latitude time1 height2m,tas_tpt-h02-hxy-x,tas_tpt-h2m-hxy-u,False
tas,area: time: mean,longitude latitude time height2m,tas_tavg-h02-hxy-x,tas_tavg-h2m-hxy-u,False
tas,area: time: mean,longitude latitude time height2m,tas_tavg-h02-hxy-x,tas_tavg-h2m-hxy-u,False
tas,area: time: mean where ice_sheet, time height2m,tas_tavg-h02-hm-is,tas_tavg-h2m-hm-is,False
tas,area: time: mean where ice_sheet, time height2m,tas_tavg-h02-hm-is,tas_tavg-h2m-hm-is,False
tas,area: mean time: point,longitude latitude time1 height2m,tas_tpt-h02-hxy-x,tas_tpt-h2m-hxy-u,False
tas,area: point time: point,site time1 height2m,tas_tpt-h02-hxys-x,tas_tpt-h2m-hxys-u,False
tas,area: time: mean where ice_sheet,longitude latitude time height2m,tas_tavg-h02-hxy-is,tas_tavg-h2m-hxy-is,False
tas,area: time: mean where sector,longitude latitude landUse time height2m,tas_tavg-h02-hxy-lus,tas_tavg-h2m-hxy-lus,False
tasmax,area: mean time: maximum,longitude latitude time height2m,tasmax_tstat-h02-hxy-x,tasmax_tstat-h2m-hxy-u,False
tasmax,area: mean time: maximum within days time: mean over days,longitude latitude time height2m,tasmax_tstat-h02-hxy-x,tasmax_tstat-h2m-hxy-u,False
tasmax,area: mean where crops time: maximum,longitude latitude time height2m,tasmax_tstat-h02-hxy-crp,tasmax_tstat-h2m-hxy-crp,False
tasmax,area: mean where crops time: maximum within days time: mean over days,longitude latitude time height2m,tasmax_tstat-h02-hxy-crp,tasmax_tstat-h2m-hxy-crp,False
tasmin,area: mean time: minimum,longitude latitude time height2m,tasmin_tstat-h02-hxy-x,tasmin_tstat-h2m-hxy-u,False
tasmin,area: mean time: minimum within days time: mean over days,longitude latitude time height2m,tasmin_tstat-h02-hxy-x,tasmin_tstat-h2m-hxy-u,False
tasmin,area: mean where crops time: minimum,longitude latitude time height2m,tasmin_tstat-h02-hxy-crp,tasmin_tstat-h2m-hxy-crp,False
tasmin,area: mean where crops time: minimum within days time: mean over days,longitude latitude time height2m,tasmin_tstat-h02-hxy-crp,tasmin_tstat-h2m-hxy-crp,False
ttop,area: time: mean where cloud,longitude latitude time,ttop_tavg-z0-hxy-cl,ttop_tavg-u-hxy-cl,False
baresoilFrac,area: time: mean,longitude latitude time typebare,baresoilFrac_tavg-z0-hxy-x,baresoilFrac_tavg-u-hxy-u,False
baresoilFrac,area: time: mean,longitude latitude time typebare,baresoilFrac_tavg-z0-hxy-x,baresoilFrac_tavg-u-hxy-u,False
burntFractionAll,area: time: mean,longitude latitude time typeburnt,burntFractionAll_tavg-z0-hxy-x,burntFractionAll_tavg-u-hxy-u,False
c3PftFrac,area: time: mean,longitude latitude time typec3pft,c3PftFrac_tavg-z0-hxy-x,c3PftFrac_tavg-u-hxy-u,False
c4PftFrac,area: time: mean,longitude latitude time typec4pft,c4PftFrac_tavg-z0-hxy-x,c4PftFrac_tavg-u-hxy-u,False
cropFrac,area: time: mean,longitude latitude time typecrop,cropFrac_tavg-z0-hxy-x,cropFrac_tavg-u-hxy-u,False
cropFrac,area: time: mean,longitude latitude time typecrop,cropFrac_tavg-z0-hxy-x,cropFrac_tavg-u-hxy-u,False
cropFracC3,area: time: mean,longitude latitude time typec3crop,cropFracC3_tavg-z0-hxy-x,cropFracC3_tavg-u-hxy-u,False
cropFracC4,area: time: mean,longitude latitude time typec4crop,cropFracC4_tavg-z0-hxy-x,cropFracC4_tavg-u-hxy-u,False
fracInLut,area: mean time: sum,longitude latitude landUse time,fracInLut_tsum-z0-hxy-x,fracInLut_tsum-u-hxy-u,False
fracLut,area: time: mean,longitude latitude landUse time,fracLut_tavg-z0-hxy-x,fracLut_tavg-u-hxy-u,False
fracLut,area: mean time: point,longitude latitude landUse time1,fracLut_tpt-z0-hxy-x,fracLut_tpt-u-hxy-u,False
fracOutLut,area: mean time: sum,longitude latitude landUse time,fracOutLut_tsum-z0-hxy-x,fracOutLut_tsum-u-hxy-u,False
grassFrac,area: time: mean,longitude latitude time typenatgr,grassFrac_tavg-z0-hxy-x,grassFrac_tavg-u-hxy-u,False
grassFrac,area: time: mean,longitude latitude time typenatgr,grassFrac_tavg-z0-hxy-x,grassFrac_tavg-u-hxy-u,False
grassFracC3,area: time: mean,longitude latitude time typec3natg,grassFracC3_tavg-z0-hxy-x,grassFracC3_tavg-u-hxy-u,False
grassFracC4,area: time: mean,longitude latitude time typec4natg,grassFracC4_tavg-z0-hxy-x,grassFracC4_tavg-u-hxy-u,False
landCoverFrac,area: time: mean,longitude latitude vegtype time,landCoverFrac_tavg-z0-hxy-x,landCoverFrac_tavg-u-hxy-u,False
nwdFrac,area: time: mean,longitude latitude time typenwd,nwdFrac_tavg-z0-hxy-x,nwdFrac_tavg-u-hxy-u,False
pastureFrac,area: time: mean,longitude latitude time typepasture,pastureFrac_tavg-z0-hxy-x,pastureFrac_tavg-u-hxy-u,False
