,Compound Name,Physical Parameter,Dimensions,Temporal Shape,Spatial Shape,Cell Methods,Cell Measures,Dimensions (from Spatial Shape),Dimensions (from Temporal Shape),CMIP7_branded_variable_name
0,3hr.clt,clt,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean,area: areacella,"longitude,latitude",time,clt_ti-u-hxy-u
1,3hr.evspsblsoi,evspsblsoi,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean,area: areacella,"longitude,latitude",time,evspsblsoi_ti-u-hxy-u
2,3hr.evspsblveg,evspsblveg,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean,area: areacella,"longitude,latitude",time,evspsblveg_ti-u-hxy-u
3,3hr.ficeberg,ficeberg,"longitude, latitude, olevel, time",time-intv,Global ocean field on model levels,area: mean where sea time: mean,area: areacello volume: volcello,"longitude,latitude,olevel",time,ficeberg_ti-l-hxy-sea
4,3hr.flandice,flandice,"longitude, latitude, time",time-intv,Global field (single level),area: mean where sea time: mean,area: areacello,"longitude,latitude",time,flandice_ti-u-hxy-sea
5,3hr.friver,friver,"longitude, latitude, time",time-intv,Global field (single level),area: mean where sea time: mean,area: areacello,"longitude,latitude",time,friver_ti-u-hxy-sea
6,3hr.hfds,hfds,"longitude, latitude, time",time-intv,Global field (single level),area: mean where sea time: mean,area: areacello,"longitude,latitude",time,hfds_ti-u-hxy-sea
7,3hr.hfdsl,hfdsl,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean,area: areacella,"longitude,latitude",time,hfdsl_ti-u-hxy-u
8,3hr.hfls,hfls,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean,area: areacella,"longitude,latitude",time,hfls_ti-u-hxy-u
9,3hr.hfrunoffds,hfrunoffds,"longitude, latitude, olevel, time",time-intv,Global ocean field on model levels,area: mean where sea time: mean,area: areacello volume: volcello,"longitude,latitude,olevel",time,hfrunoffds_ti-l-hxy-sea
10,3hr.hfss,hfss,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean,area: areacella,"longitude,latitude",time,hfss_ti-u-hxy-u
11,3hr.huss,huss,"longitude, latitude, time1, height2m",time-point,Global field (single level),area: mean time: point,area: areacella,"longitude,latitude",time1,huss_ti-h2m-hxy-u
12,3hr.mrro,mrro,"longitude, latitude, time",time-intv,Global field (single level),area: mean where land time: mean,area: areacella,"longitude,latitude",time,mrro_ti-u-hxy-lnd
13,3hr.mrros,mrros,"longitude, latitude, time",time-intv,Global field (single level),area: mean where land time: mean,area: areacella,"longitude,latitude",time,mrros_ti-u-hxy-lnd
14,3hr.mrso10,mrso10,"longitude, latitude, time, sdepth10",time-intv,Global field (single level),area: mean where land time: mean,area: areacella,"longitude,latitude",time,mrso10_ti-z1m-hxy-lnd
